Title,Created Date,smokeTests_certificate,sanity_sanityTests_certificate,regressionTests_certificate,useCaseTesting_certificate,endToEnd_systemTests_certificate,uatTest_certificate,databaseTests_certificate,serviceTesting_certificate,loadTests_certificate,stressTests_certificate,spikeTests_certificate,volumeTests_certificate,TipoDeEjecucionCertificate,automatedFunctionality_certificate,candidateToAutomate_certificate,loadTestsExecuted_certificate,loadingScript_certificate,loadTestingCandidate_certificate,executionEnvironment_certificate,Tipo de Incidente,Esfuerzo_certificate,unitTestingDevelopment_certificate,integrationTestingDevelopment_certificate,closedTests_certificate,critical_highBugs_certificate,opinion_certificate,EVC_CelulaCertificate,Enviroment
CERTI - Dep. Trx y Seguros - Andromeda: Afiliación masiva de clientes nomina ADI,15/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Depósitos,
CERTI - CICLO DE CREDITO - FABRICANTES: Modulo para evaluar solicitudes de casos entre equipo,15/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Ciclo de Crédito/Cliente mas Originación,
CERTI - EVOLUCIÓN INTERNA - GUERREROS Z: Finanzas,15/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Evolución Interna/Finanzas + Contabilidad,
CERTI - REQ CLIENTE- NEW CORE: SFTP-TIGO NAVEGA,15/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI - A18 - GÉNESIS : Generación ID Consulta SIB,16/02/2023,F,F,F,T,F,T,T,T,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,14,T,T,F,F,Satisfactorio,Actívate 18/Genesis,
CERTI - CICLO DE CRÉDITO - ÁREA 51: Modernización de sistema de gestión de historia y fecha valor,16/02/2023,T,T,T,T,T,T,T,F,T,T,F,F,Manual,F,F,F,F,F,QA,Express,578,T,T,T,F,Satisfactorio,Ciclo de Crédito/Mantenimiento Producto Activo,
CERTI - A18 - GÉNESIS: Administrador de condiciones - TDC ,16/02/2023,F,F,F,T,F,F,F,T,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,17,T,T,F,F,Satisfactorio,Actívate 18/Genesis,
CERTI - A18 - GÉNESIS: Administrador de condiciones – documentos,16/02/2023,F,F,F,T,T,F,F,F,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,17,T,T,F,F,Satisfactorio,Actívate 18/Genesis,
CERTI - MEDIOS DE PAGO - QUE EXPLOTA: Rechazo compras con tarjeta no presente diseño Sticker ,16/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,T,T,F,Satisfactorio,Canales - Medios de Pago - Mercadeo/Qué Explota,
CERTI - TRANSACCIONAL - NEW CORE: Afiliación EF Classic Guatemala,16/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI - EV. INTERNA - SPARTANS/LA CUADRA: Conectados,17/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Evolutivo,114,T,T,T,F,Satisfactorio,Evolución Interna/Administración + Talento Humano,
CERTI - EVOLUCIÓN INTERNA - GUERREROS Z: Adición de campos de tabla de rentabilidad por productos,17/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,3,T,T,T,F,Satisfactorio,Evolución Interna/Finanzas + Contabilidad,
CERTI - Activate 18 - Escuadrón 18: Incorporación de agencia en bitácoras y pantalla de reposiciones de plásticos,20/02/2023,T,F,T,T,T,F,T,T,F,F,F,F,Manual,F,F,F,F,F,QA,Express,10,T,T,T,F,Satisfactorio,Actívate 18/Escuadrón 18,
CERTI - EVOLUCIÓN INTERNA - GUERREROS Z: Creación de un reporte/link en SQL de solicitudes de acceso al módulo contable,20/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,2,T,T,T,T,,Evolución Interna/Finanzas + Contabilidad,
CERTI - Depositos-Transaccional-Seguros - Andromeda: Creación de reporte de cambios de tasa realizado en el Módulo de Plazo Fijo Operativo. ,20/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Depósitos,
CERTI - EV. INTERNA - SPARTANS/LA CUADRA: Mejora para que en el proceso de ABC tome los pliegos de vacaciones que no se ingresan desde el portal,20/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,3,T,T,T,F,Satisfactorio,Evolución Interna/Administración + Talento Humano,
CERTI - EV. INTERNA - SPARTANS/LA CUADRA: MCI Web Service ABC,20/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,8,T,T,T,F,Satisfactorio,Evolución Interna/Administración + Talento Humano,
CERTI - Canales- Medios Pago - Mercadeo - Canales Físicos: IMPRESION MANUAL DE LAMINAS DE CERERTIFICADO A PLAZO FIJO,21/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Canales - Medios de pago - Mercadeo/Canales Físicos,
CERTI - PTD- CANAL EMPRESAS:  Pruebas de ruta critica de Tarjetas de crédito QA,21/02/2023,T,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,5,T,T,T,F,Satisfactorio,Canal Empresas/Etapa 3,
CERTI - EV. INTERNA - SPARTANS/LA CUADRA: Casos de bajas a accesos de transacciones de red en términos de contrato ABC,21/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,3,T,T,T,F,Satisfactorio,Evolución Interna/Administración + Talento Humano,
CERTI - DEPÓSITOS-TRANSACCIONAL-SEGUROS - SEGUROS:  Cambio en reporte de ingresos semanales Best Doctors,21/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Seguros,
"CERTI - CANALES, MEDIOS DE PAGO Y MERCADEO - MEDIOS DE PAGO: consulta de direcciones de Impresiones Visa",21/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Canales - Medios de Pago - Mercadeo/ Wall E Code,
CERTI - TRANSACCIONAL - ACADEMIA: Cambio Validación LOGIN SIA,21/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - A18 - ALPHA: Modificación al catálogo de parentesco PEP Escritorio Bam,22/02/2023,F,F,F,F,T,F,T,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Evolutivo,6,T,T,T,F,Satisfactorio,Actívate 18/Alpha,
CERTI - CICLO CRÉDITO - FABRICANTES: Agregar los productos transaccionales dentro de la pantalla de COBIS,22/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Cliente mas Originación,
CERTI - CANALES FÍSICOS: Insertar en transacción 1084 la causa 218 ,22/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,F,T,T,F,Satisfactorio,Canales - Medios de pago - Mercadeo/Canales Físicos,
"CERTI - TRANSACCIONAL - ACADEMIA:  Creación Código Asesor, Modulo Covenants",23/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - MEDIOS DE PAGO - QUE EXPLOTA: Mejoras en el proceso de change card info para el proceso de tarjetas de débito tokenizadas. ,23/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Canales - Medios de Pago - Mercadeo/Qué Explota,
CERTI - EVOLUCIÓN INTERNA - FINANZAS: Corrección días mora - Boards (azure.com),23/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,1,T,T,T,T,,Evolución Interna/Finanzas + Contabilidad,
CERTI - TRANSACCIONAL - LA ACADEMIA: Crear validación para pago en Ventanilla,23/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - TRANSACCIONAL - LA ACADEMIA: Servicio de Notificación de Alertas de ACH,23/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - TRANSACCIONAL - LA ACADEMIA : Mejoras en la reportería de Efectivo Fácil,23/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - EVOLUCIÓN INTERNA - GUERREROS Z: Réplica de las tablas ,24/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,2,T,T,T,T,,Evolución Interna/Finanzas + Contabilidad,
CERTI - A18 - GÉNESIS: Configuración de matrices MAC,24/02/2023,F,F,F,T,F,F,F,T,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,15,T,T,T,F,Satisfactorio,Actívate 18/Genesis,
